Borough,FIPS,code,name,total_population,White,African_American,American_Indian,Asian,Native_Hawaiian_and_Other_Pacific_Islander,Other,Two_or_More_Races,Hispanic_Origin
Bronx,005,BX36,University-Heights-Morris-Heights,54188,760,17219,106,688,11,158,424,34822
Bronx,005,BX37,Van-Nest-Morris-Park-Westchester-Square,29250,7987,3245,82,3100,15,292,410,14119
Bronx,005,BX39,Mott-Haven-Port-Morris,52413,867,12927,95,214,7,124,310,37869
Bronx,005,BX40,Fordham-South,28262,438,7337,86,194,1,154,214,19838
Bronx,005,BX41,Mount-Hope,51807,675,14023,136,1058,28,366,542,34979
Bronx,005,BX43,Norwood,40494,3998,7262,114,4451,9,264,611,23785
Bronx,005,BX44,Williamsbridge-Olinville,61321,1690,41380,237,961,13,396,956,15688
Bronx,005,BX46,Parkchester,29821,1105,12765,73,3721,11,171,611,11364
Bronx,005,BX49,Pelham-Parkway,30073,10875,3223,59,3389,4,196,466,11861
Bronx,005,BX52,Schuylerville-Throgs-Neck-Edgewater-Park,44167,20348,3479,93,1430,15,238,450,18114
Bronx,005,BX55,Soundview-Bruckner,35634,801,7916,125,2650,24,421,522,23175
Bronx,005,BX59,Westchester-Unionport,27248,1780,4225,117,2913,10,650,620,16933
Bronx,005,BX62,Woodlawn-Wakefield,42483,7473,24774,169,1465,20,855,866,6861
Bronx,005,BX63,West-Concourse,39282,664,8943,81,908,13,204,438,28031
Bronx,005,BX75,Crotona-Park-East,20277,179,6493,65,123,3,39,138,13237
Bronx,005,BX98,Rikers-Island,11091,782,6206,25,32,7,257,3,3779
Bronx,005,BX99,park-cemetery-etc-Bronx,1906,237,657,5,56,1,2,13,935
Brooklyn,047,BK09,Brooklyn-Heights-Cobble-Hill,22887,17210,1259,37,2003,3,82,618,1675
Brooklyn,047,BK17,Sheepshead-Bay-Gerritsen-Beach-Manhattn-Bch,64518,43944,4161,43,10135,3,152,877,5203
Brooklyn,047,BK19,Brighton-Beach,35547,24774,352,61,4580,10,139,442,5189
Brooklyn,047,BK21,Seagate-Coney-Island,31965,9880,10307,78,2793,4,67,467,8369
Brooklyn,047,BK23,West-Brighton,17750,16782,344,6,87,1,14,117,399
Brooklyn,047,BK25,Homecrest,44316,35363,434,36,4215,5,71,560,3632
Brooklyn,047,BK26,Gravesend,29436,15535,2469,41,6250,1,41,383,4716
Brooklyn,047,BK27,Bath-Beach,29931,16389,273,21,8953,10,67,324,3894
Brooklyn,047,BK28,Bensonhurst-West,88727,42904,580,87,31917,25,180,1065,11969
Brooklyn,047,BK29,Bensonhurst-East,62978,31029,501,34,22182,13,139,766,8314
Brooklyn,047,BK30,Dyker-Heights,42419,23037,222,13,13605,4,62,430,5046
Brooklyn,047,BK31,Bay-Ridge,79371,52740,1457,83,10530,19,265,1682,12595
Brooklyn,047,BK32,Sunset-Park-West,54041,8597,1978,85,7257,10,184,604,35326
Brooklyn,047,BK33,Carroll-Gardens-Columbia-Street-Red-Hook,38353,23342,4573,61,1728,13,143,912,7581
Brooklyn,047,BK34,Sunset-Park-East,72340,9724,930,110,37281,22,151,794,23328
Brooklyn,047,BK35,Stuyvesant-Heights,63504,2219,46336,222,1092,11,181,994,12449
Brooklyn,047,BK37,Park-Slope-Gowanus,67649,45529,4334,77,4056,19,318,2053,11263
Brooklyn,047,BK38,DUMBO-Vinegar-Hill-Downtown-Brklyn-Boerum-Hil,34495,14560,7883,69,2949,16,115,922,7981
Brooklyn,047,BK40,Windsor-Terrace,20988,13616,1298,31,2076,0,151,531,3285
Brooklyn,047,BK41,Kensington-Ocean-Parkway,36891,17686,2558,49,8879,9,274,926,6510
Brooklyn,047,BK42,Flatbush,105804,21030,51470,281,9712,26,575,2051,20659
Brooklyn,047,BK43,Midwood,52835,40482,2508,46,5517,9,140,549,3584
Brooklyn,047,BK44,Madison,38917,27646,630,6,7340,5,97,504,2689
Brooklyn,047,BK45,Georgetown-Marine-Park-Bergen-Beach-Mill-Basin,45231,33399,4952,47,2521,7,144,578,3583
Brooklyn,047,BK46,Ocean-Parkway-South,20299,17338,177,15,937,1,47,168,1616
Brooklyn,047,BK50,Canarsie,83693,4928,67816,192,2198,8,332,1278,6941
Brooklyn,047,BK58,Flatlands,64762,11793,42935,158,2577,16,334,1196,5753
Brooklyn,047,BK60,Prospect-Lefferts-Gardens-Wingate,67459,6495,51578,155,1063,17,292,1231,6628
Brooklyn,047,BK61,Crown-Heights-North,103169,10237,76358,238,1926,16,374,1969,12051
Brooklyn,047,BK63,Crown-Heights-South,39670,10221,24921,81,285,12,127,601,3422
Brooklyn,047,BK64,Prospect-Heights,19849,9359,5979,34,1316,12,106,768,2275
Brooklyn,047,BK68,Fort-Greene,26079,7289,11081,67,1897,7,84,857,4797
Brooklyn,047,BK69,Clinton-Hill,34791,12389,14652,68,1808,10,161,1142,4561
Brooklyn,047,BK72,Williamsburg,32926,28366,793,29,48,2,77,152,3459
Brooklyn,047,BK73,North-Side-South-Side,45774,23968,1393,57,2227,19,183,659,17268
Brooklyn,047,BK75,Bedford,70713,18054,34699,159,1402,47,207,1116,15029
Brooklyn,047,BK76,Greenpoint,34719,26691,433,48,1689,10,161,588,5099
Brooklyn,047,BK77,Bushwick-North,57138,6098,5533,82,3417,11,380,582,41035
Brooklyn,047,BK78,Bushwick-South,72101,6819,20281,155,1734,21,268,809,42014
Brooklyn,047,BK79,Ocean-Hill,31935,439,24825,132,199,2,111,511,5716
Brooklyn,047,BK81,Brownsville,58300,471,44364,165,416,18,180,703,11983
Brooklyn,047,BK82,East-New-York,91958,1240,58453,291,2764,38,683,1237,27252
Brooklyn,047,BK83,Cypress-Hills-City-Line,49223,1444,9151,328,5680,30,1736,1159,29695
Brooklyn,047,BK85,East-New-York-(Pennsylvania-Ave),29343,278,20512,63,174,15,122,334,7845
Brooklyn,047,BK88,Borough-Park,106357,81910,794,60,12464,8,236,894,9991
Brooklyn,047,BK90,East-Williamsburg,34158,14706,3189,40,4354,21,115,561,11172
Brooklyn,047,BK91,East-Flatbush-Farragut,50355,753,44883,120,558,20,231,893,2897
Brooklyn,047,BK93,Starrett-City,13354,3293,7036,29,389,2,37,184,2384
Brooklyn,047,BK95,Erasmus,29938,557,25166,109,529,8,117,529,2923
Brooklyn,047,BK96,Rugby-Remsen-Village,55326,506,50182,137,393,17,175,718,3198
Brooklyn,047,BK99,park-cemetery-etc-Brooklyn,418,247,73,2,27,0,5,22,42
Manhattan,061,MN01,Marble-Hill-Inwood,46746,7060,4239,64,884,5,179,458,33857
Manhattan,061,MN03,Central-Harlem-North-Polo-Grounds,75282,4344,50494,256,1303,20,195,1482,17188
Manhattan,061,MN04,Hamilton-Heights,48520,5287,15646,119,1067,15,178,884,25324
Manhattan,061,MN06,Manhattanville,22950,1710,5918,77,496,5,76,255,14413
Manhattan,061,MN09,Morningside-Heights,55929,25750,7619,105,7462,30,203,1605,13155
Manhattan,061,MN11,Central-Harlem-South,43383,6978,24241,111,1536,26,177,1169,9145
Manhattan,061,MN12,Upper-West-Side,132378,89632,11146,136,7888,34,445,2632,20465
Manhattan,061,MN13,Hudson-Yards-Chelsea-Flat-Iron-Union-Square,70150,45661,4017,93,8267,21,261,1587,10243
Manhattan,061,MN14,Lincoln-Square,61489,45103,2710,58,6916,14,175,1196,5317
Manhattan,061,MN15,Clinton,45884,25891,2869,70,6886,31,181,1079,8877
Manhattan,061,MN17,Midtown-Midtown-South,28630,18351,1310,34,5942,8,92,569,2324
Manhattan,061,MN19,Turtle-Bay-East-Midtown,51231,39475,1071,23,6655,21,184,845,2957
Manhattan,061,MN20,Murray-Hill-Kips-Bay,50742,33818,2423,55,8233,16,181,1008,5008
Manhattan,061,MN21,Gramercy,27988,20623,923,19,3740,10,77,573,2023
Manhattan,061,MN22,East-Village,44136,28888,1743,64,6560,22,182,1214,5463
Manhattan,061,MN23,West-Village,66880,54100,1353,50,5453,20,236,1614,4054
Manhattan,061,MN24,SoHo-TriBeCa-Civic-Center-Little-Italy,42742,28250,934,30,9478,11,171,1098,2770
Manhattan,061,MN25,Battery-Park-City-Lower-Manhattan,39699,25965,1288,35,8016,17,153,1170,3055
Manhattan,061,MN27,Chinatown,47844,7817,2285,38,30559,11,75,639,6420
Manhattan,061,MN28,Lower-East-Side,72957,16453,7931,142,18166,13,191,1191,28870
Manhattan,061,MN31,Lenox-Hill-Roosevelt-Island,80771,60831,3571,57,8569,61,262,1558,5862
Manhattan,061,MN32,Yorkville,77942,59233,2858,51,7226,25,216,1466,6867
Manhattan,061,MN33,East-Harlem-South,57902,10072,14227,96,4802,55,218,933,27499
Manhattan,061,MN34,East-Harlem-North,58019,3936,20625,128,1766,9,185,769,30601
Manhattan,061,MN35,Washington-Heights-North,67136,17305,2738,58,1701,10,213,701,44410
Manhattan,061,MN36,Washington-Heights-South,84438,9501,8827,122,2303,5,304,845,62531
Manhattan,061,MN40,Upper-East-Side-Carnegie-Hill,61207,53647,669,18,3052,12,131,844,2834
Manhattan,061,MN50,Stuyvesant-Town-Cooper-Village,21049,15600,751,23,2662,6,63,539,1405
Manhattan,061,MN99,park-cemetery-etc-Manhattan,1849,212,914,12,36,0,1,34,640
Queens,081,QN01,South-Jamaica,38894,378,28084,316,2018,43,972,1166,5917
Queens,081,QN02,Springfield-Gardens-North,25409,192,22642,69,212,10,112,513,1659
Queens,081,QN03,Springfield-Gardens-South-Brookville,20132,397,17018,66,385,5,101,422,1738
Queens,081,QN05,Rosedale,25063,1334,20033,82,556,0,242,474,2342
Queens,081,QN06,Jamaica-Estates-Holliswood,25480,6371,7021,126,6617,20,639,1015,3671
Queens,081,QN07,Hollis,20269,460,12973,126,2167,20,974,876,2673
Queens,081,QN08,St.Albans,48593,469,43073,129,417,16,258,1085,3146
Queens,081,QN10,Breezy-Point-Belle-Harbor-Rockwy-Prk-Broad-Chnl,28018,21946,2095,29,595,8,66,259,3020
Queens,081,QN12,Hammels-Arverne-Edgemere,36885,5722,20168,105,1029,11,307,831,8712
Queens,081,QN15,Far-Rockaway-Bayswater,50058,12778,22400,175,931,44,504,860,12366
Queens,081,QN17,Forest-Hills,83728,48822,2086,63,20233,22,373,1719,10410
Queens,081,QN18,Rego-Park,28260,13068,698,41,8966,7,124,674,4682
Queens,081,QN19,Glendale,32496,19793,384,67,1004,5,78,310,10855
Queens,081,QN20,Ridgewood,69317,27558,1380,93,5331,19,204,765,33967
Queens,081,QN21,Middle-Village,37929,28071,354,31,3059,7,89,314,6004
Queens,081,QN22,Flushing,72008,6831,3016,74,49830,59,172,1303,10723
Queens,081,QN23,College-Point,24275,7757,551,26,6774,2,97,402,8666
Queens,081,QN25,Corona,57658,4851,7845,130,7346,9,280,723,36474
Queens,081,QN26,North-Corona,52037,929,2566,67,3597,5,351,259,44263
Queens,081,QN27,East-Elmhurst,23150,1092,5869,46,1023,14,146,269,14691
Queens,081,QN28,Jackson-Heights,108152,18567,2210,145,23781,9,583,1736,61121
Queens,081,QN29,Elmhurst,88427,5870,1140,133,38699,28,338,1423,40796
Queens,081,QN30,Maspeth,30516,18080,253,31,3676,1,115,245,8115
Queens,081,QN31,Hunters-Point-Sunnyside-West-Maspeth,63271,22424,1588,109,15390,29,395,1342,21994
Queens,081,QN33,Cambria-Heights,18677,259,16862,42,157,6,62,325,964
Queens,081,QN34,Queens-Village,52504,3304,26376,279,8424,64,2066,2320,9671
Queens,081,QN35,Briarwood-Jamaica-Hills,39138,8400,4489,139,14144,29,774,1493,9670
Queens,081,QN37,Kew-Gardens-Hills,37479,20184,2839,63,7500,20,156,1169,5548
Queens,081,QN38,Pomonok-Flushing-Heights-Hillcrest,34034,11918,4420,57,10694,19,139,805,5982
Queens,081,QN41,Fresh-Meadows-Utopia,17812,5864,1355,17,8381,2,74,356,1763
Queens,081,QN42,Oakland-Gardens,28237,12214,711,10,12427,5,69,408,2393
Queens,081,QN43,Bellerose,25287,7974,1882,61,9821,41,494,936,4078
Queens,081,QN44,Glen-Oaks-Floral-Park-New-Hyde-Park,22571,10914,1034,65,7576,5,204,691,2082
Queens,081,QN45,Douglas-Manor-Douglaston-Little-Neck,24739,13195,317,15,8818,2,69,308,2015
Queens,081,QN46,Bayside-Bayside-Hills,43808,20550,1160,24,16324,7,112,565,5066
Queens,081,QN47,Ft.Totten-Bay-Terrace-Clearview,21751,14879,283,12,4446,1,29,246,1855
Queens,081,QN48,Auburndale,19996,8954,209,12,8169,0,25,284,2343
Queens,081,QN49,Whitestone,30773,20956,242,18,5362,2,90,351,3752
Queens,081,QN50,Elmhurst-Maspeth,25521,3586,232,30,14310,6,48,523,6786
Queens,081,QN51,Murray-Hill,51739,14423,858,43,27184,3,120,836,8272
Queens,081,QN52,East-Flushing,26982,5176,326,33,15880,13,84,494,4976
Queens,081,QN53,Woodhaven,56674,9798,3458,250,9856,23,1371,1612,30306
Queens,081,QN54,Richmond-Hill,62982,7078,6960,657,17252,116,4139,4136,22644
Queens,081,QN55,South-Ozone-Park,75878,5213,19477,1064,17691,152,7999,8337,15945
Queens,081,QN56,Ozone-Park,21376,6511,1188,82,4143,2,559,779,8112
Queens,081,QN57,Lindenwood-Howard-Beach,26148,20069,413,28,923,5,62,249,4399
Queens,081,QN60,Kew-Gardens,23278,11478,1515,37,3628,11,257,701,5651
Queens,081,QN61,Jamaica,53751,1949,11946,466,13073,66,2814,2647,20790
Queens,081,QN62,Queensboro-Hill,20800,3597,246,10,13526,2,51,436,2932
Queens,081,QN63,Woodside,45099,10140,592,76,17990,5,221,975,15100
Queens,081,QN66,Laurelton,24453,358,22021,69,167,4,91,403,1340
Queens,081,QN68,Queensbridge-Ravenswood-Long-Island-City,20030,2946,5183,62,3096,6,248,385,8104
Queens,081,QN70,Astoria,78793,38749,3553,137,12759,30,936,1714,20915
Queens,081,QN71,Old-Astoria,27814,10621,2801,60,4369,16,270,604,9073
Queens,081,QN72,Steinway,47534,31163,850,53,4972,24,326,920,9226
Queens,081,QN76,Baisley-Park,34603,292,26608,240,1596,14,860,1109,3884
Queens,081,QN98,Airport,0,0,0,0,0,0,0,0,0
Queens,081,QN99,park-cemetery-etc-Queens,436,255,28,0,40,0,0,5,108
StatenIsland,085,SI01,Annadale-Huguenot-Prince's-Bay-Eltingville,27770,24319,146,27,1228,15,16,219,1800
StatenIsland,085,SI05,New-Springville-Bloomfield-Travis,39597,25516,1706,59,6220,24,108,655,5309
StatenIsland,085,SI07,Westerleigh,24102,18052,624,30,1745,7,29,404,3211
StatenIsland,085,SI08,Grymes-Hill-Clifton-Fox-Hills,22460,6625,7425,57,2601,4,55,435,5258
StatenIsland,085,SI11,Charleston-Richmond-Valley-Tottenville,23313,19685,599,13,720,5,39,200,2052
StatenIsland,085,SI12,Mariner's-Harbor-Arlington-Port-Ivory-Graniteville,31474,7412,9455,68,2698,7,101,691,11042
StatenIsland,085,SI14,Grasmere-Arrochar-Ft.Wadsworth,16079,10450,770,24,1722,13,36,284,2780
StatenIsland,085,SI22,West-New-Brighton-New-Brighton-St.George,33551,8859,10630,100,1691,10,123,835,11303
StatenIsland,085,SI24,Todt-Hill-Emersn-Hill-Heartland-Villg-Lighthse-Hill,30714,22571,527,33,4039,0,61,363,3120
StatenIsland,085,SI25,Oakwood-Oakwood-Beach,22049,18416,282,26,905,1,13,197,2209
StatenIsland,085,SI28,Port-Richmond,20191,8115,3392,51,784,6,79,377,7387
StatenIsland,085,SI32,Rossville-Woodrow,20763,18193,97,0,836,1,42,132,1462
StatenIsland,085,SI35,New-Brighton-Silver-Lake,17525,10552,1997,23,1027,9,41,290,3586
StatenIsland,085,SI36,Old-Town-Dongan-Hills-South-Beach,24835,18381,763,36,1860,9,69,336,3381
StatenIsland,085,SI37,Stapleton-Rosebank,26453,9910,5097,72,2565,12,102,427,8268
StatenIsland,085,SI45,New-Dorp-Midland-Beach,21896,17136,261,28,1148,2,31,215,3075
StatenIsland,085,SI48,Arden-Heights,25238,20328,373,22,1675,4,27,249,2560
StatenIsland,085,SI54,Great-Kills,40720,35649,169,26,1233,8,56,331,3248
StatenIsland,085,SI99,park-cemetery-etc-StatenIsland,0,0,0,0,0,0,0,0,0
